callback_index,simulation_time,month,day,hour,minute,core_zn_temp,core_zn_co2,core_zn_pmv,core_zn_occ,occupancy_source,perimeter_zn_1_temp,perimeter_zn_2_temp,perimeter_zn_3_temp,perimeter_zn_4_temp,electricity_meter_joules,electricity_meter_kwh,facility_demand_kw,gas_meter_joules,gas_meter_kwh_eq,total_site_energy_kwh_eq,hvac_mode
1,Day 21/01 00:13,1,21,0,13,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.80,20.86,20.90,20.86,0.00,0.0000,0.00,23089397.17,6.4137,6.4137,HEATING
2,Day 21/01 00:20,1,21,0,20,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18318224.17,5.0884,5.0884,HEATING
3,Day 21/01 00:30,1,21,0,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17441831.36,4.8450,4.8450,HEATING
4,Day 21/01 00:42,1,21,0,42,18.96,400.0,-1.09,0.0,ENERGYPLUS,17.87,17.75,17.98,17.75,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
5,Day 21/01 00:53,1,21,0,53,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.90,20.86,0.00,0.0000,0.00,23121947.65,6.4228,6.4228,HEATING
6,Day 21/01 01:00,1,21,1,0,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18362369.17,5.1007,5.1007,HEATING
7,Day 21/01 01:10,1,21,1,10,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17481870.94,4.8561,4.8561,HEATING
8,Day 21/01 01:22,1,21,1,22,18.96,400.0,-1.10,0.0,ENERGYPLUS,17.86,17.74,17.97,17.74,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
9,Day 21/01 01:33,1,21,1,33,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00,23150984.69,6.4308,6.4308,HEATING
10,Day 21/01 01:40,1,21,1,40,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,19960951.68,5.5447,5.5447,HEATING
11,Day 21/01 01:50,1,21,1,50,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17517728.64,4.8660,4.8660,HEATING
12,Day 21/01 02:02,1,21,2,2,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.86,17.74,17.97,17.74,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
13,Day 21/01 02:13,1,21,2,13,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00,23177033.06,6.4381,6.4381,HEATING
14,Day 21/01 02:20,1,21,2,20,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18437324.19,5.1215,5.1215,HEATING
15,Day 21/01 02:30,1,21,2,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17549977.78,4.8750,4.8750,HEATING
16,Day 21/01 02:42,1,21,2,42,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.73,17.96,17.73,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
17,Day 21/01 02:53,1,21,2,53,20.96,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00,23200483.15,6.4446,6.4446,HEATING
18,Day 21/01 03:00,1,21,3,0,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18469300.43,5.1304,5.1304,HEATING
19,Day 21/01 03:10,1,21,3,10,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,19138160.45,5.3162,5.3162,HEATING
20,Day 21/01 03:22,1,21,3,22,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.73,17.96,17.73,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
21,Day 21/01 03:33,1,21,3,33,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00,23221644.15,6.4505,6.4505,HEATING
22,Day 21/01 03:40,1,21,3,40,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18498182.80,5.1384,5.1384,HEATING
23,Day 21/01 03:50,1,21,3,50,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17605342.33,4.8904,4.8904,HEATING
24,Day 21/01 04:02,1,21,4,2,18.95,400.0,-1.10,0.0,ENERGYPLUS,17.85,17.72,17.96,17.73,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
25,Day 21/01 04:13,1,21,4,13,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.79,20.86,20.89,20.86,0.00,0.0000,0.00,23240771.65,6.4558,6.4558,HEATING
26,Day 21/01 04:20,1,21,4,20,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18524309.95,5.1456,5.1456,HEATING
27,Day 21/01 04:30,1,21,4,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17629122.15,4.8970,4.8970,HEATING
28,Day 21/01 04:42,1,21,4,42,18.94,400.0,-1.10,0.0,ENERGYPLUS,17.84,17.72,17.95,17.72,0.00,0.0000,0.00,1571119.13,0.4364,0.4364,HEATING
29,Day 21/01 04:53,1,21,4,53,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.78,20.86,20.88,20.86,0.00,0.0000,0.00,23258082.87,6.4606,6.4606,HEATING
30,Day 21/01 05:00,1,21,5,0,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18547971.66,5.1522,5.1522,HEATING
31,Day 21/01 05:10,1,21,5,10,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17650662.50,4.9030,4.9030,HEATING
32,Day 21/01 05:22,1,21,5,22,18.94,400.0,-1.10,0.0,ENERGYPLUS,17.84,17.72,17.95,17.72,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
33,Day 21/01 05:33,1,21,5,33,20.95,400.0,-0.87,0.0,ENERGYPLUS,20.78,20.86,20.88,20.86,0.00,0.0000,0.00,23271084.35,6.4642,6.4642,HEATING
34,Day 21/01 05:40,1,21,5,40,21.00,400.0,-0.84,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,18568015.65,5.1578,5.1578,HEATING
35,Day 21/01 05:50,1,21,5,50,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17668836.74,4.9080,4.9080,HEATING
36,Day 21/01 06:02,1,21,6,2,18.94,400.0,-1.10,0.0,ENERGYPLUS,17.84,17.72,17.95,17.72,0.00,0.0000,0.00,1571153.88,0.4364,0.4364,HEATING
37,Day 21/01 06:15,1,21,6,15,20.90,400.0,-0.88,0.0,ENERGYPLUS,20.82,20.68,20.82,20.69,0.00,0.0000,0.00,18551422.26,5.1532,5.1532,HEATING
38,Day 21/01 06:20,1,21,6,20,21.00,400.0,-0.84,0.0,ENERGYPLUS,20.99,20.97,20.99,20.97,0.00,0.0000,0.00,14414641.83,4.0041,4.0041,HEATING
39,Day 21/01 06:30,1,21,6,30,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,20.99,21.00,20.99,0.00,0.0000,0.00,13522351.18,3.7562,3.7562,HEATING
40,Day 21/01 06:40,1,21,6,40,21.00,400.0,-0.83,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,13158986.10,3.6553,3.6553,HEATING
41,Day 21/01 06:50,1,21,6,50,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,12891290.25,3.5809,3.5809,HEATING
42,Day 21/01 07:00,1,21,7,0,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,12689192.43,3.5248,3.5248,HEATING
43,Day 21/01 07:10,1,21,7,10,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22685579.19,6.3015,6.3015,HEATING
44,Day 21/01 07:20,1,21,7,20,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22559344.59,6.2665,6.2665,HEATING
45,Day 21/01 07:30,1,21,7,30,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,24017832.73,6.6716,6.6716,HEATING
46,Day 21/01 07:40,1,21,7,40,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22377435.20,6.2160,6.2160,HEATING
47,Day 21/01 07:50,1,21,7,50,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22309302.79,6.1970,6.1970,HEATING
48,Day 21/01 08:00,1,21,8,0,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22251328.35,6.1809,6.1809,HEATING
49,Day 21/01 08:10,1,21,8,10,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22201597.27,6.1671,6.1671,HEATING
50,Day 21/01 08:20,1,21,8,20,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22156685.09,6.1546,6.1546,HEATING
51,Day 21/01 08:30,1,21,8,30,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22118844.22,6.1441,6.1441,HEATING
52,Day 21/01 08:40,1,21,8,40,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22085288.52,6.1348,6.1348,HEATING
53,Day 21/01 08:50,1,21,8,50,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23614436.98,6.5596,6.5596,HEATING
54,Day 21/01 09:00,1,21,9,0,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22028112.89,6.1189,6.1189,HEATING
55,Day 21/01 09:10,1,21,9,10,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,22003386.50,6.1121,6.1121,HEATING
56,Day 21/01 09:20,1,21,9,20,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21979244.85,6.1053,6.1053,HEATING
57,Day 21/01 09:30,1,21,9,30,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21959098.59,6.0997,6.0997,HEATING
58,Day 21/01 09:40,1,21,9,40,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21939962.64,6.0944,6.0944,HEATING
59,Day 21/01 09:50,1,21,9,50,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21921925.01,6.0894,6.0894,HEATING
60,Day 21/01 10:00,1,21,10,0,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23464114.94,6.5178,6.5178,HEATING
61,Day 21/01 10:10,1,21,10,10,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21888701.34,6.0802,6.0802,HEATING
62,Day 21/01 10:20,1,21,10,20,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21874197.41,6.0762,6.0762,HEATING
63,Day 21/01 10:30,1,21,10,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21859515.12,6.0721,6.0721,HEATING
64,Day 21/01 10:40,1,21,10,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21845480.48,6.0682,6.0682,HEATING
65,Day 21/01 10:50,1,21,10,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21832028.91,6.0645,6.0645,HEATING
66,Day 21/01 11:00,1,21,11,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21819110.84,6.0609,6.0609,HEATING
67,Day 21/01 11:10,1,21,11,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23365943.15,6.4905,6.4905,HEATING
68,Day 21/01 11:20,1,21,11,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21792949.96,6.0536,6.0536,HEATING
69,Day 21/01 11:30,1,21,11,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21781411.84,6.0504,6.0504,HEATING
70,Day 21/01 11:40,1,21,11,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21770255.14,6.0473,6.0473,HEATING
71,Day 21/01 11:50,1,21,11,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21759469.21,6.0443,6.0443,HEATING
72,Day 21/01 12:00,1,21,12,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21749033.08,6.0414,6.0414,HEATING
73,Day 21/01 12:10,1,21,12,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23298073.44,6.4717,6.4717,HEATING
74,Day 21/01 12:20,1,21,12,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21730456.89,6.0362,6.0362,HEATING
75,Day 21/01 12:30,1,21,12,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21720954.79,6.0336,6.0336,HEATING
76,Day 21/01 12:40,1,21,12,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21711747.36,6.0310,6.0310,HEATING
77,Day 21/01 12:50,1,21,12,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21702811.84,6.0286,6.0286,HEATING
78,Day 21/01 13:00,1,21,13,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21694136.39,6.0261,6.0261,HEATING
79,Day 21/01 13:10,1,21,13,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21685710.47,6.0238,6.0238,HEATING
80,Day 21/01 13:20,1,21,13,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23237113.31,6.4548,6.4548,HEATING
81,Day 21/01 13:30,1,21,13,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21670006.46,6.0194,6.0194,HEATING
82,Day 21/01 13:40,1,21,13,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21662273.80,6.0173,6.0173,HEATING
83,Day 21/01 13:50,1,21,13,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21654755.45,6.0152,6.0152,HEATING
84,Day 21/01 14:00,1,21,14,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21648655.64,6.0135,6.0135,HEATING
85,Day 21/01 14:10,1,21,14,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21641299.64,6.0115,6.0115,HEATING
86,Day 21/01 14:20,1,21,14,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21636956.72,6.0103,6.0103,HEATING
87,Day 21/01 14:30,1,21,14,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23190249.18,6.4417,6.4417,HEATING
88,Day 21/01 14:40,1,21,14,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21625211.89,6.0070,6.0070,HEATING
89,Day 21/01 14:50,1,21,14,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21619280.90,6.0054,6.0054,HEATING
90,Day 21/01 15:00,1,21,15,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21613410.70,6.0037,6.0037,HEATING
91,Day 21/01 15:10,1,21,15,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21607623.43,6.0021,6.0021,HEATING
92,Day 21/01 15:20,1,21,15,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21602813.26,6.0008,6.0008,HEATING
93,Day 21/01 15:30,1,21,15,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21597221.57,5.9992,5.9992,HEATING
94,Day 21/01 15:40,1,21,15,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21591746.78,5.9977,5.9977,HEATING
95,Day 21/01 15:50,1,21,15,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23145514.68,6.4293,6.4293,HEATING
96,Day 21/01 16:00,1,21,16,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21581140.46,5.9948,5.9948,HEATING
97,Day 21/01 16:10,1,21,16,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21576011.47,5.9933,5.9933,HEATING
98,Day 21/01 16:20,1,21,16,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21570558.50,5.9918,5.9918,HEATING
99,Day 21/01 16:30,1,21,16,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21565664.45,5.9905,5.9905,HEATING
100,Day 21/01 16:40,1,21,16,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21560881.83,5.9891,5.9891,HEATING
101,Day 21/01 16:50,1,21,16,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21556212.41,5.9878,5.9878,HEATING
102,Day 21/01 17:00,1,21,17,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21551654.58,5.9866,5.9866,HEATING
103,Day 21/01 17:10,1,21,17,10,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,23106332.78,6.4184,6.4184,HEATING
104,Day 21/01 17:20,1,21,17,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21545948.64,5.9850,5.9850,HEATING
105,Day 21/01 17:30,1,21,17,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21541694.24,5.9838,5.9838,HEATING
106,Day 21/01 17:40,1,21,17,40,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21537565.93,5.9827,5.9827,HEATING
107,Day 21/01 17:50,1,21,17,50,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21533538.97,5.9815,5.9815,HEATING
108,Day 21/01 18:00,1,21,18,0,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,21529610.44,5.9804,5.9804,HEATING
109,Day 21/01 18:12,1,21,18,12,20.55,400.0,-0.86,0.0,ENERGYPLUS,20.25,20.25,20.29,20.25,0.00,0.0000,0.00,13649807.53,3.7916,3.7916,HEATING
110,Day 21/01 18:20,1,21,18,20,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,15568289.75,4.3245,4.3245,HEATING
111,Day 21/01 18:30,1,21,18,30,21.00,400.0,-0.80,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17123984.57,4.7567,4.7567,HEATING
112,Day 21/01 18:42,1,21,18,42,19.09,400.0,-1.05,0.0,ENERGYPLUS,18.07,17.96,18.17,17.96,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
113,Day 21/01 18:53,1,21,18,53,20.96,400.0,-0.85,0.0,ENERGYPLUS,20.89,20.87,20.93,20.87,0.00,0.0000,0.00,21957953.87,6.0994,6.0994,HEATING
114,Day 21/01 19:00,1,21,19,0,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17077389.44,4.7437,4.7437,HEATING
115,Day 21/01 19:10,1,21,19,10,21.00,400.0,-0.81,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,16421973.76,4.5617,4.5617,HEATING
116,Day 21/01 19:22,1,21,19,22,19.04,400.0,-1.07,0.0,ENERGYPLUS,17.98,17.87,18.09,17.87,0.00,0.0000,0.00,12000.00,0.0033,0.0033,HEATING
117,Day 21/01 19:33,1,21,19,33,20.96,400.0,-0.85,0.0,ENERGYPLUS,20.85,20.86,20.92,20.87,0.00,0.0000,0.00,22446534.22,6.2351,6.2351,HEATING
118,Day 21/01 19:40,1,21,19,40,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,17557293.79,4.8770,4.8770,HEATING
119,Day 21/01 19:50,1,21,19,50,21.00,400.0,-0.82,0.0,ENERGYPLUS,21.00,21.00,21.00,21.00,0.00,0.0000,0.00,16792011.79,4.6644,4.6644,HEATING
120,Day 21/01 20:02,1,21,20,2,19.01,400.0,-1.08,0.0,ENERGYPLUS,17.94,17.83,18.05,17.83,0.00,0.0000,0.00,1571146.36,0.4364,0.4364,HEATING
121,Day 21/01 20:13,1,21,20,13,20.96,400.0,-0.86,0.0,ENERGYPLUS,20.83,20.86,20.92,20.87,0.00,0.0000,0.00,22678452.21,6.2996,6.2996,HEATING
