run_id,season,controller_version,callback_index,simulation_time,sim_month,sim_day,sim_hour,sim_minute,outdoor_drybulb_c,outdoor_rh_pct,core_zn_temp,core_zn_co2,core_zn_pmv,core_zn_occ,occupancy_source,perimeter_zn_1_temp,perimeter_zn_2_temp,perimeter_zn_3_temp,perimeter_zn_4_temp,electricity_meter_joules,electricity_meter_kwh,facility_demand_kw,gas_meter_joules,gas_meter_kwh_eq,total_site_energy_kwh_eq,hvac_mode
winter-ai-v-1785067387,winter,policy_iter1_frozen,1,Day 21/01 00:10,1,21,0,10,1.23,89.0,19.35,438.6,-0.83,0.0,ENERGYPLUS,18.67,18.26,18.30,18.19,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,2,Day 21/01 00:20,1,21,0,20,0.77,89.0,19.29,436.2,-0.84,0.0,ENERGYPLUS,18.59,18.18,18.22,18.11,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,3,Day 21/01 00:30,1,21,0,30,0.30,89.0,19.22,433.9,-0.86,0.0,ENERGYPLUS,18.52,18.10,18.15,18.04,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,4,Day 21/01 00:40,1,21,0,40,-0.17,89.0,19.15,431.8,-0.87,0.0,ENERGYPLUS,18.44,18.02,18.07,17.96,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,5,Day 21/01 00:50,1,21,0,50,-0.63,89.0,19.08,429.8,-0.89,0.0,ENERGYPLUS,18.37,17.94,18.00,17.88,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,6,Day 21/01 01:05,1,21,1,5,-1.10,89.0,19.03,428.0,-0.90,0.0,ENERGYPLUS,18.30,17.88,17.94,17.82,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,7,Day 21/01 01:10,1,21,1,10,-1.10,89.0,18.97,426.2,-0.91,0.0,ENERGYPLUS,18.24,17.81,17.88,17.76,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,8,Day 21/01 01:20,1,21,1,20,-1.10,89.0,18.93,424.6,-0.93,0.0,ENERGYPLUS,18.19,17.76,17.83,17.71,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,9,Day 21/01 01:30,1,21,1,30,-1.10,89.0,18.89,423.0,-0.94,0.0,ENERGYPLUS,18.14,17.72,17.79,17.66,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,10,Day 21/01 01:40,1,21,1,40,-1.10,89.0,18.86,421.6,-0.95,0.0,ENERGYPLUS,18.09,17.67,17.75,17.61,1485014.48,0.4125,1.65,1571103.10,0.4364,0.8489,HEATING
winter-ai-v-1785067387,winter,policy_iter1_frozen,11,Day 21/01 01:50,1,21,1,50,-1.10,89.0,18.82,420.3,-0.95,0.0,ENERGYPLUS,18.05,17.63,17.71,17.57,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,HEATING
