Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,2.687792E-01,9.092287E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.682786E+03,9.471466E-02,9.059693E+02,3.064593E+03,3.545285E-01,9.771763E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.179985E-02,6.867834E+02,2.323160E+03,2.234049E-01,6.046888E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,4.259259E-02,4.074088E+02,1.378129E+03,3.401406E-01,9.496986E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.275661E+03,7.179985E-02,6.867834E+02,2.323160E+03,2.231856E-01,6.042701E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.567386E+02,4.768017E-02,4.784491E+02,1.488047E+03
00:20:00,2.687810E-01,9.092321E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.692970E+03,9.471466E-02,8.957856E+02,3.026117E+03,3.545299E-01,9.771790E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.179985E-02,6.790635E+02,2.293993E+03,2.234058E-01,6.046905E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,4.259259E-02,4.028292E+02,1.360826E+03,3.401420E-01,9.497013E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.283381E+03,7.179985E-02,6.790635E+02,2.293993E+03,2.231865E-01,6.042718E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.613181E+02,4.877746E-02,4.891904E+02,1.494282E+03
00:30:00,2.687827E-01,9.092354E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.703154E+03,9.471466E-02,8.856019E+02,2.987814E+03,3.545312E-01,9.771816E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.179985E-02,6.713436E+02,2.264957E+03,2.234066E-01,6.046922E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,4.259259E-02,3.982497E+02,1.343601E+03,3.401434E-01,9.497039E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.291101E+03,7.179985E-02,6.713436E+02,2.264957E+03,2.231874E-01,6.042735E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.658977E+02,4.966186E-02,4.969593E+02,1.495810E+03
00:40:00,2.687843E-01,9.092386E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.713338E+03,9.471466E-02,8.754182E+02,2.949683E+03,3.545325E-01,9.771840E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.179985E-02,6.636237E+02,2.236051E+03,2.234075E-01,6.046938E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,4.259259E-02,3.936701E+02,1.326454E+03,3.401447E-01,9.497064E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.298821E+03,7.179985E-02,6.636237E+02,2.236051E+03,2.231882E-01,6.042751E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.704772E+02,5.036492E-02,5.021961E+02,1.493324E+03
00:50:00,2.687859E-01,9.092416E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.723521E+03,9.471466E-02,8.652345E+02,2.911724E+03,3.545338E-01,9.771864E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.179985E-02,6.559038E+02,2.207275E+03,2.234083E-01,6.046953E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,4.259259E-02,3.890906E+02,1.309384E+03,3.401459E-01,9.497088E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.306541E+03,7.179985E-02,6.559038E+02,2.207275E+03,2.231891E-01,6.042767E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.750568E+02,5.091219E-02,5.052578E+02,1.487409E+03
01:00:00,2.687875E-01,9.092446E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.733705E+03,9.471466E-02,8.550508E+02,2.873935E+03,3.545350E-01,9.771888E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.179985E-02,6.481839E+02,2.178629E+03,2.234091E-01,6.046968E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,4.259259E-02,3.845110E+02,1.292391E+03,3.401472E-01,9.497111E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.314261E+03,7.179985E-02,6.481839E+02,2.178629E+03,2.231899E-01,6.042782E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.796363E+02,5.132561E-02,5.064506E+02,1.478576E+03
01:10:00,2.687890E-01,9.092474E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.740494E+03,9.471466E-02,8.482616E+02,2.848837E+03,3.545361E-01,9.771908E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.179985E-02,6.430373E+02,2.159603E+03,2.234097E-01,6.046981E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,4.259259E-02,3.814580E+02,1.281104E+03,3.401482E-01,9.497132E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.319407E+03,7.179985E-02,6.430373E+02,2.159603E+03,2.231905E-01,6.042795E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.826893E+02,5.174870E-02,5.093053E+02,1.475548E+03
01:20:00,2.687904E-01,9.092502E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.747283E+03,9.471466E-02,8.414725E+02,2.823813E+03,3.545371E-01,9.771928E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.179985E-02,6.378906E+02,2.140633E+03,2.234104E-01,6.046994E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,4.259259E-02,3.784049E+02,1.269851E+03,3.401493E-01,9.497152E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.324554E+03,7.179985E-02,6.378906E+02,2.140633E+03,2.231912E-01,6.042808E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.857424E+02,5.208592E-02,5.109610E+02,1.470671E+03
01:30:00,2.687918E-01,9.092529E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.754072E+03,9.471466E-02,8.346834E+02,2.798864E+03,3.545381E-01,9.771947E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.179985E-02,6.327440E+02,2.121720E+03,2.234111E-01,6.047006E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,4.259259E-02,3.753519E+02,1.258632E+03,3.401503E-01,9.497171E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.329700E+03,7.179985E-02,6.327440E+02,2.121720E+03,2.231918E-01,6.042820E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.887954E+02,5.235008E-02,5.115968E+02,1.464245E+03
01:40:00,2.687932E-01,9.092555E+03,9.471466E-02,0.000000E+00,0.000000E+00,9.471466E-02,1.760861E+03,9.471466E-02,8.278942E+02,2.773989E+03,3.545391E-01,9.771965E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.179985E-02,6.275974E+02,2.102864E+03,2.234117E-01,6.047018E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,4.259259E-02,3.722989E+02,1.247446E+03,3.401512E-01,9.497189E+03,7.179985E-02,0.000000E+00,0.000000E+00,7.179985E-02,1.334847E+03,7.179985E-02,6.275974E+02,2.102864E+03,2.231925E-01,6.042832E+03,4.259259E-02,0.000000E+00,0.000000E+00,4.259259E-02,7.918484E+02,5.255286E-02,5.113754E+02,1.456541E+03
