run_id,season,controller_version,callback_index,simulation_time,sim_month,sim_day,sim_hour,sim_minute,outdoor_drybulb_c,outdoor_rh_pct,core_zn_temp,core_zn_co2,core_zn_pmv,core_zn_occ,occupancy_source,perimeter_zn_1_temp,perimeter_zn_2_temp,perimeter_zn_3_temp,perimeter_zn_4_temp,electricity_meter_joules,electricity_meter_kwh,facility_demand_kw,gas_meter_joules,gas_meter_kwh_eq,total_site_energy_kwh_eq,hvac_mode
summer-ai-v2-1785084104,summer,policy_iter1_frozen,1,Day 21/07 00:10,7,21,0,10,19.90,92.5,24.89,427.1,-0.20,0.0,ENERGYPLUS,25.00,25.37,24.97,25.04,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,2,Day 21/07 00:20,7,21,0,20,19.80,92.0,24.87,425.5,-0.20,0.0,ENERGYPLUS,24.98,25.35,24.95,25.02,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,3,Day 21/07 00:30,7,21,0,30,19.70,91.5,24.86,424.0,-0.20,0.0,ENERGYPLUS,24.95,25.33,24.92,24.99,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,4,Day 21/07 00:40,7,21,0,40,19.60,91.0,24.84,422.6,-0.21,0.0,ENERGYPLUS,24.93,25.30,24.90,24.97,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,5,Day 21/07 00:50,7,21,0,50,19.50,90.5,24.83,421.3,-0.21,0.0,ENERGYPLUS,24.90,25.28,24.88,24.95,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,6,Day 21/07 01:00,7,21,1,0,19.40,90.0,24.81,420.0,-0.22,0.0,ENERGYPLUS,24.88,25.25,24.86,24.92,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,7,Day 21/07 01:10,7,21,1,10,19.32,90.5,24.79,418.8,-0.22,0.0,ENERGYPLUS,24.86,25.23,24.84,24.90,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,8,Day 21/07 01:20,7,21,1,20,19.23,91.0,24.78,417.7,-0.22,0.0,ENERGYPLUS,24.84,25.21,24.82,24.88,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,9,Day 21/07 01:30,7,21,1,30,19.15,91.5,24.76,416.7,-0.23,0.0,ENERGYPLUS,24.82,25.20,24.80,24.87,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,10,Day 21/07 01:40,7,21,1,40,19.07,92.0,24.75,415.7,-0.23,0.0,ENERGYPLUS,24.80,25.18,24.79,24.85,1485014.48,0.4125,1.65,1571058.00,0.4364,0.8489,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,11,Day 21/07 01:50,7,21,1,50,18.98,92.5,24.73,414.7,-0.23,0.0,ENERGYPLUS,24.79,25.16,24.77,24.83,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
summer-ai-v2-1785084104,summer,policy_iter1_frozen,12,Day 21/07 02:00,7,21,2,0,18.90,93.0,24.72,413.9,-0.24,0.0,ENERGYPLUS,24.77,25.14,24.75,24.82,1485014.48,0.4125,1.65,12000.00,0.0033,0.4158,COOLING
